,ts_uts,endts_uts,type,opflags,proc.pid,proc.tid,pproc.pid,proc.exe,proc.args,pproc.exe,pproc.args,res,flow.rbytes,flow.rops,flow.wbytes,flow.wops,container.id,tags
0,1531776715030353952,1531776715030578781,FF,   W     T ,2025,12406,2024,/usr/local/bin/node,app.js,/bin/dash,-c node app.js,/tmp/exfil.py,0,0,6537,1,99fb18d0e79f,()
1,1531776715041743005,,PE,EXEC,17753,17753,2025,/bin/sh,-c /tmp/exfil.py -a,/usr/local/bin/node,app.js,,,,,,99fb18d0e79f,"(['Suspiciousprocessspawned', 'Shellstartedbycontainerentrypoint'], {'mitre:T1106', 'mitre:T1574', 'mitre:T1059.004'}, 3)"
2,1531776715042104798,1531776715042113773,FF,O       C  ,17753,17753,2025,/bin/sh,-c /tmp/exfil.py -a,/usr/local/bin/node,app.js,/etc/ld.so.cache,0,0,0,0,99fb18d0e79f,()
3,1531776715042126672,1531776715042171908,FF,O   R   C  ,17753,17753,2025,/bin/sh,-c /tmp/exfil.py -a,/usr/local/bin/node,app.js,/lib/x86_64-linux-gnu/libc.so.6,832,1,0,0,99fb18d0e79f,()
4,1531776715048770544,,PE,CLONE,17754,17754,17753,/bin/sh,-c /tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,,,,,,99fb18d0e79f,()
5,1531776715049101084,1531776715049109983,FF,O       C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/etc/ld.so.cache,0,0,0,0,99fb18d0e79f,()
6,1531776715049122394,1531776715049159779,FF,O   R   C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/lib/x86_64-linux-gnu/libpthread.so.0,832,1,0,0,99fb18d0e79f,()
7,1531776715049174642,1531776715049202649,FF,O   R   C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/lib/x86_64-linux-gnu/libdl.so.2,832,1,0,0,99fb18d0e79f,()
8,1531776715049215864,1531776715049248491,FF,O   R   C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/lib/x86_64-linux-gnu/libutil.so.1,832,1,0,0,99fb18d0e79f,()
9,1531776715049261441,1531776715049288208,FF,O   R   C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/lib/x86_64-linux-gnu/libz.so.1,832,1,0,0,99fb18d0e79f,()
10,1531776715049302761,1531776715049330991,FF,O   R   C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/lib/x86_64-linux-gnu/libm.so.6,832,1,0,0,99fb18d0e79f,()
11,1531776715049344408,1531776715049384167,FF,O   R   C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/lib/x86_64-linux-gnu/libc.so.6,832,1,0,0,99fb18d0e79f,()
12,1531776715051379729,1531776715058567413,FF,O       C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/usr/lib/python2.7/site.py,0,0,0,0,99fb18d0e79f,()
13,1531776715051388820,1531776715051657940,FF,O   R   C  ,17754,17754,17753,/tmp/exfil.py,/tmp/exfil.py -a,/bin/sh,-c /tmp/exfil.py -a,/usr/lib/python2.7/site.pyc,19710,4,0,0,99fb18d0e79f,()
